f0003 | 10 | knn | 30days | 15 | False | 0.8 | 0.1 | 0.005 | [[252, 267, 327, 387, 537], [190, 205, 265, 325, 475], [147, 162, 222, 282, 432]] | 
f0003 | 10 | knn | 30days | 15 | False | 0.8 | 0.1 | 0.01 | [[296, 301, 321, 341, 391], [230, 235, 255, 275, 325], [183, 188, 208, 228, 278]] | 
f0003 | 10 | knn | 30days | 15 | False | 0.8 | 0.07 | 0.001 | [[240, 260, 340, 420, 620], [182, 202, 282, 362, 562], [140, 160, 240, 320, 520]] | 
f0003 | 10 | knn | 30days | 15 | False | 0.8 | 0.07 | 0.003 | [[242, 257, 317, 377, 527], [182, 197, 257, 317, 467], [139, 154, 214, 274, 424]] | 
f0003 | 10 | knn | 30days | 15 | False | 0.8 | 0.07 | 0.005 | [[251, 266, 326, 386, 536], [189, 204, 264, 324, 474], [146, 161, 221, 281, 431]] | 
f0003 | 10 | knn | 30days | 15 | False | 0.8 | 0.07 | 0.01 | [[295, 300, 320, 340, 390], [229, 234, 254, 274, 324], [182, 187, 207, 227, 277]] | 
f0003 | 10 | knn | 30days | 15 | False | 0.8 | 0.05 | 0.001 | [[234, 254, 334, 414, 614], [176, 196, 276, 356, 556], [134, 154, 234, 314, 514]] | 
f0003 | 10 | knn | 30days | 15 | False | 0.8 | 0.05 | 0.003 | [[236, 251, 311, 371, 521], [176, 191, 251, 311, 461], [133, 148, 208, 268, 418]] | 
f0003 | 10 | knn | 30days | 15 | False | 0.8 | 0.05 | 0.005 | [[245, 260, 320, 380, 530], [183, 198, 258, 318, 468], [140, 155, 215, 275, 425]] | 
f0003 | 10 | knn | 30days | 15 | False | 0.8 | 0.05 | 0.01 | [[289, 294, 314, 334, 384], [223, 228, 248, 268, 318], [176, 181, 201, 221, 271]] | 
f0003 | 10 | knn | 30days | 15 | False | 0.9 | 0.2 | 0.001 | [[130, 175, 355, 535, 985], [111, 156, 336, 516, 966], [104, 149, 329, 509, 959]] | 
f0003 | 10 | knn | 30days | 15 | False | 0.9 | 0.2 | 0.003 | [[131, 146, 206, 266, 416], [102, 117, 177, 237, 387], [87, 102, 162, 222, 372]] | 
f0003 | 10 | knn | 30days | 15 | False | 0.9 | 0.2 | 0.005 | [[181, 196, 256, 316, 466], [135, 150, 210, 270, 420], [103, 118, 178, 238, 388]] | 
f0003 | 10 | knn | 30days | 15 | False | 0.9 | 0.2 | 0.01 | [[258, 263, 283, 303, 353], [201, 206, 226, 246, 296], [158, 163, 183, 203, 253]] | 
f0003 | 10 | knn | 30days | 15 | False | 0.9 | 0.15 | 0.001 | [[130, 175, 355, 535, 985], [111, 156, 336, 516, 966], [104, 149, 329, 509, 959]] | 
f0003 | 10 | knn | 30days | 15 | False | 0.9 | 0.15 | 0.003 | [[131, 146, 206, 266, 416], [102, 117, 177, 237, 387], [87, 102, 162, 222, 372]] | 
f0003 | 10 | knn | 30days | 15 | False | 0.9 | 0.15 | 0.005 | [[181, 196, 256, 316, 466], [135, 150, 210, 270, 420], [103, 118, 178, 238, 388]] | 
