vehicles | 20 | lof | 15days | 15 | False | 0.8 | 0.15 | 0.003 | [[823, 924, 1429, 2439], [750, 833, 1248, 2078], [732, 810, 1200, 1980]] | 
vehicles | 20 | lof | 15days | 15 | False | 0.8 | 0.15 | 0.005 | [[822, 907, 1332, 2182], [790, 868, 1258, 2038], [754, 823, 1168, 1858]] | 
vehicles | 20 | lof | 15days | 15 | False | 0.8 | 0.15 | 0.01 | [[837, 914, 1299, 2069], [795, 862, 1197, 1867], [758, 816, 1106, 1686]] | 
vehicles | 20 | lof | 15days | 15 | False | 0.8 | 0.1 | 0.001 | [[752, 853, 1358, 2368], [679, 762, 1177, 2007], [661, 739, 1129, 1909]] | 
vehicles | 20 | lof | 15days | 15 | False | 0.8 | 0.1 | 0.003 | [[752, 853, 1358, 2368], [679, 762, 1177, 2007], [661, 739, 1129, 1909]] | 
vehicles | 20 | lof | 15days | 15 | False | 0.8 | 0.1 | 0.005 | [[751, 836, 1261, 2111], [719, 797, 1187, 1967], [683, 752, 1097, 1787]] | 
vehicles | 20 | lof | 15days | 15 | False | 0.8 | 0.1 | 0.01 | [[766, 843, 1228, 1998], [724, 791, 1126, 1796], [687, 745, 1035, 1615]] | 
vehicles | 20 | lof | 15days | 15 | False | 0.8 | 0.07 | 0.001 | [[725, 826, 1331, 2341], [652, 735, 1150, 1980], [634, 712, 1102, 1882]] | 
vehicles | 20 | lof | 15days | 15 | False | 0.8 | 0.07 | 0.003 | [[725, 826, 1331, 2341], [652, 735, 1150, 1980], [634, 712, 1102, 1882]] | 
vehicles | 20 | lof | 15days | 15 | False | 0.8 | 0.07 | 0.005 | [[724, 809, 1234, 2084], [692, 770, 1160, 1940], [656, 725, 1070, 1760]] | 
vehicles | 20 | lof | 15days | 15 | False | 0.8 | 0.07 | 0.01 | [[739, 816, 1201, 1971], [697, 764, 1099, 1769], [660, 718, 1008, 1588]] | 
vehicles | 20 | lof | 15days | 15 | False | 0.8 | 0.05 | 0.001 | [[713, 816, 1331, 2361], [643, 729, 1159, 2019], [625, 706, 1111, 1921]] | 
vehicles | 20 | lof | 15days | 15 | False | 0.8 | 0.05 | 0.003 | [[713, 816, 1331, 2361], [643, 729, 1159, 2019], [625, 706, 1111, 1921]] | 
vehicles | 20 | lof | 15days | 15 | False | 0.8 | 0.05 | 0.005 | [[712, 799, 1234, 2104], [683, 764, 1169, 1979], [647, 719, 1079, 1799]] | 
vehicles | 20 | lof | 15days | 15 | False | 0.8 | 0.05 | 0.01 | [[727, 806, 1201, 1991], [688, 758, 1108, 1808], [651, 712, 1017, 1627]] | 
vehicles | 20 | knn | 15days | 15 | False | 0.4 | 0.2 | 0.001 | [[1276, 1334, 1624, 2204], [1207, 1251, 1471, 1911], [1162, 1198, 1378, 1738]] | 
vehicles | 20 | knn | 15days | 15 | False | 0.4 | 0.2 | 0.003 | [[1276, 1334, 1624, 2204], [1207, 1251, 1471, 1911], [1162, 1198, 1378, 1738]] | 
vehicles | 20 | knn | 15days | 15 | False | 0.4 | 0.2 | 0.005 | [[1252, 1297, 1522, 1972], [1219, 1259, 1459, 1859], [1177, 1210, 1375, 1705]] | 
vehicles | 20 | knn | 15days | 15 | False | 0.4 | 0.2 | 0.01 | [[1270, 1313, 1528, 1958], [1234, 1271, 1456, 1826], [1192, 1222, 1372, 1672]] | 
vehicles | 20 | knn | 15days | 15 | False | 0.4 | 0.15 | 0.001 | [[1085, 1144, 1439, 2029], [1014, 1058, 1278, 1718], [974, 1010, 1190, 1550]] | 
vehicles | 20 | knn | 15days | 15 | False | 0.4 | 0.15 | 0.003 | [[1085, 1144, 1439, 2029], [1014, 1058, 1278, 1718], [974, 1010, 1190, 1550]] | 
vehicles | 20 | knn | 15days | 15 | False | 0.4 | 0.15 | 0.005 | [[1061, 1107, 1337, 1797], [1026, 1066, 1266, 1666], [989, 1022, 1187, 1517]] | 
vehicles | 20 | knn | 15days | 15 | False | 0.4 | 0.15 | 0.01 | [[1079, 1123, 1343, 1783], [1041, 1078, 1263, 1633], [1004, 1034, 1184, 1484]] | 
vehicles | 20 | knn | 15days | 15 | False | 0.4 | 0.1 | 0.001 | [[908, 979, 1334, 2044], [833, 887, 1157, 1697], [793, 839, 1069, 1529]] | 
vehicles | 20 | knn | 15days | 15 | False | 0.4 | 0.1 | 0.003 | [[908, 979, 1334, 2044], [833, 887, 1157, 1697], [793, 839, 1069, 1529]] | 
vehicles | 20 | knn | 15days | 15 | False | 0.4 | 0.1 | 0.005 | [[884, 942, 1232, 1812], [845, 895, 1145, 1645], [808, 851, 1066, 1496]] | 
vehicles | 20 | knn | 15days | 15 | False | 0.4 | 0.1 | 0.01 | [[902, 958, 1238, 1798], [860, 907, 1142, 1612], [823, 863, 1063, 1463]] | 
vehicles | 20 | knn | 15days | 15 | False | 0.4 | 0.07 | 0.001 | [[817, 891, 1261, 2001], [736, 791, 1066, 1616], [697, 744, 979, 1449]] | 
vehicles | 20 | knn | 15days | 15 | False | 0.4 | 0.07 | 0.003 | [[817, 891, 1261, 2001], [736, 791, 1066, 1616], [697, 744, 979, 1449]] | 
vehicles | 20 | knn | 15days | 15 | False | 0.4 | 0.07 | 0.005 | [[793, 854, 1159, 1769], [748, 799, 1054, 1564], [712, 756, 976, 1416]] | 
vehicles | 20 | knn | 15days | 15 | False | 0.4 | 0.07 | 0.01 | [[811, 870, 1165, 1755], [763, 811, 1051, 1531], [727, 768, 973, 1383]] | 
vehicles | 20 | knn | 15days | 15 | False | 0.4 | 0.05 | 0.001 | [[761, 841, 1241, 2041], [682, 743, 1048, 1658], [640, 691, 946, 1456]] | 
vehicles | 20 | knn | 15days | 15 | False | 0.4 | 0.05 | 0.003 | [[761, 841, 1241, 2041], [682, 743, 1048, 1658], [640, 691, 946, 1456]] | 
vehicles | 20 | knn | 15days | 15 | False | 0.4 | 0.05 | 0.005 | [[737, 804, 1139, 1809], [694, 751, 1036, 1606], [655, 703, 943, 1423]] | 
vehicles | 20 | knn | 15days | 15 | False | 0.4 | 0.05 | 0.01 | [[755, 820, 1145, 1795], [709, 763, 1033, 1573], [670, 715, 940, 1390]] | 
vehicles | 20 | knn | 15days | 15 | False | 0.5 | 0.2 | 0.001 | [[1183, 1245, 1555, 2175], [1115, 1163, 1403, 1883], [1073, 1114, 1319, 1729]] | 
vehicles | 20 | knn | 15days | 15 | False | 0.5 | 0.2 | 0.003 | [[1183, 1245, 1555, 2175], [1115, 1163, 1403, 1883], [1073, 1114, 1319, 1729]] | 
vehicles | 20 | knn | 15days | 15 | False | 0.5 | 0.2 | 0.005 | [[1166, 1214, 1454, 1934], [1134, 1177, 1392, 1822], [1095, 1132, 1317, 1687]] | 
vehicles | 20 | knn | 15days | 15 | False | 0.5 | 0.2 | 0.01 | [[1192, 1238, 1468, 1928], [1157, 1197, 1397, 1797], [1118, 1152, 1322, 1662]] | 
vehicles | 20 | knn | 15days | 15 | False | 0.5 | 0.15 | 0.001 | [[1012, 1075, 1390, 2020], [942, 990, 1230, 1710], [905, 946, 1151, 1561]] | 
vehicles | 20 | knn | 15days | 15 | False | 0.5 | 0.15 | 0.003 | [[1012, 1075, 1390, 2020], [942, 990, 1230, 1710], [905, 946, 1151, 1561]] | 
